,product_id,rcmd_product_id,score
0,48102821,56365197,0.5066226757619959
1,48102821,22413470,0.4636871517628701
2,48102821,35607267,0.4427430293553082
3,48102821,50319688,0.4361403104883828
4,48102821,72928043,0.42648800679098564
5,48102821,70772235,0.42424123579509854
6,48102821,52333193,0.424078077532621
7,48102821,48273751,0.4206831442564742
8,52333193,52889826,0.9213257039872177
9,52333193,35373097,0.8842582177866091
10,52333193,26348659,0.8679627073037123
11,52333193,72928043,0.8452451350968754
12,52333193,48273751,0.688211246070761
13,52333193,41574489,0.6693457458050049
14,52333193,22413470,0.6591823431598688
15,52333193,56365197,0.6496626226368695
16,299461,299431,0.7573586187214602
17,299461,389145,0.5826518012250964
18,299461,74267277,0.5806305403377515
19,299461,56930154,0.5623052067714871
20,299461,54665,0.5273441860831579
21,299461,54665,0.5273441860831579
22,299461,203734,0.5160894985858594
23,299461,899654,0.4888456057015947
24,57440329,54680052,0.36834202009276834
25,57440329,24408779,0.297401951194292
26,57440329,11239836,0.26149253433261543
27,57440329,54385590,0.2590748690573739
28,57440329,48091364,0.2539339485869071
29,57440329,59084364,0.2450057264944895
30,57440329,58298176,0.24268270206834502
31,57440329,54383925,0.2345660216643668
32,38458616,35373097,0.4339473538573293
33,38458616,48273751,0.4230219841038476
34,38458616,26348659,0.4156939796115902
35,38458616,73314682,0.4130450997590456
36,38458616,74285829,0.4120834805690182
37,38458616,72928043,0.4094271331042838
38,38458616,52333193,0.40334409552091727
39,38458616,52889826,0.4004563138710164
40,12567795,46623654,0.9177071226624799
41,12567795,23459272,0.9009484064859963
42,12567795,22413470,0.4279230356325138
43,12567795,75574549,0.407516309719539
44,12567795,74141526,0.4030178938334794
45,12567795,79952488,0.3822752877623589
46,12567795,79965318,0.38102975678915346
47,12567795,52889826,0.3724423083413282
48,4897521,643138,0.46925846607091143
49,4897521,55469774,0.43655229224095327
50,4897521,855600,0.4337555863732939
51,4897521,23476288,0.4333094193507536
52,4897521,74141526,0.41949962128410556
53,4897521,7320225,0.412915915981938
54,4897521,22413470,0.393746732664341
55,4897521,55925516,0.38902594546674246
56,47321729,46841782,0.45859169548042905
57,47321729,48493605,0.4507696194803025
58,47321729,65395332,0.4165950007296178
59,47321729,59322576,0.41190365381536104
60,47321729,70895043,0.3924179473907574
61,47321729,7820533,0.38582243542548106
62,47321729,23482495,0.3850858825067146
63,47321729,32586832,0.3675001597745263
64,2638665,23368835,0.8619221871069869
65,2638665,591960,0.818309713045331
66,2638665,19408798,0.4225305215688641
67,2638665,31602057,0.39069454110107205
68,2638665,855600,0.3871367254781599
69,2638665,7320225,0.37697152235618353
70,2638665,55469774,0.3677187457965818
71,2638665,23476288,0.3643617728704996
72,25078249,4312979,0.42904151946365987
73,25078249,4312979,0.42904151946365987
74,25078249,8159079,0.42805165887840585
75,25078249,916784,0.42444214472205305
76,25078249,55897,0.41890811861340727
77,25078249,55897,0.41890811861340727
78,25078249,389145,0.4005276122284406
79,25078249,76781356,0.3965228872453579
80,389145,74267277,0.7133871613866075
81,389145,299461,0.5826518012250964
82,389145,54665,0.5701154900288505
83,389145,54665,0.5701154900288505
84,389145,203734,0.5626388312086943
85,389145,299431,0.5411714031179475
86,389145,55897,0.4350605530830171
87,389145,55897,0.4350605530830171
88,180912,208248,0.6214741040749886
89,180912,208248,0.6214741040749886
90,180912,11241055,0.4821485386958669
91,180912,588800,0.4485353690373875
92,180912,595655,0.4332841868047022
93,180912,359483,0.4179772036248355
94,180912,122012,0.4165272229712588
95,180912,10590207,0.3946819361759919
96,7820533,65395332,0.5501741651189178
97,7820533,59322576,0.5441128535043069
98,7820533,23852057,0.49908572151459085
99,7820533,32586832,0.4981997064542815
